source,page,year_of_occurrence,village_in_source,village,latitude,longitude,spontaneous/ formullaic,mari,translation_Russian,translation_German,translation_Latin,mari_marker,copula / retrospective marker,use,modal / non-modal,complement,semantics,modality type (vAP),modality type (descriptive categories),negation,question (true question),overt subject (who needs/ has to/ can),case of overt subject (who needs/ has to/ can),animacy,counted in corpus,counted in subcorpus,(im)personality
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tokə̑štə̑ kešäšlə̑k ə̑lə̑t , d'emb'el' ə̑lə̑t ","Домой должны были уезжать, дембеля были.",NA,NA,šašlə̑k,ə̑lə̑t,predicate,modal,V,necessity,deontic,deontic,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"lašašə̑žə̑m kid dono nüštə̈lə̈t , pingə̈də̈räk nünžə̈k lišäšlə̑k ","Муку размешивают рукой, тесто должно быть покрепче.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,external,instruction (recipe),0,no,yes,nom,inan,present-day,recipes,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"ik ə̈rvezäš xangam , kə̑škə̑ pištə̈mə̈ luat kok pandə̑m, taškal kolta , pandə̑vlä və̈sen keät , i vot kü mošašlə̑k , tə̈də̈ ma ... kə̈čä ... pandə̑vläm opten šə̈ndä xangaškə̑ dä kə̈čäläš tə̈ngäleš ","Один мальчик по доске, где лежат 12 палочек, ударяет ногой, палочки разлетаются, и вот кто должен искать, тот что... ищет… палочки кладёт на доску и начинает искать.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,vot sv'eta tolšašlə̑k dä pandə̑m postaršašlə̑k ə̑leš ,Вот Света должна прийти и палочки должна собирать.,NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,vot sv'eta tolšašlə̑k dä pandə̑m postaršašlə̑k ə̑leš ,Вот Света должна прийти и палочки должна собирать.,NA,NA,šašlə̑k,ə̑leš,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,yes,nom,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"tägülän pušašlə̑k ə̑leš am pälə̈ , no šalga tə̈štə̈ r'adomok , no eče iktə̈länät pute , fs'o","Кому-то должна дать, не знаю, но стоит там же рядом, но еще никому не дала, всё.",NA,NA,šašlə̑k,ə̑leš,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,BVA : tə̈n'ə̈m mə̈n' pə̑n'imajə̑šašlə̑k ə̑lam vet ,Я тебя понять ведь должен.,NA,NA,šašlə̑k,ə̑lam,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,ə̈də̈räšə̈žə̈ küšnə̈räk lišäšlə̑k?,Девушка должна быть немножко повыше?,NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,experiment (ref_com),0,yes,yes,nom,inan,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"üm ə̈štäš keleš, üm tə̈štə̈ , každə̑j xoz'ajstvə̑ ik vedrä üm zdajə̑šašlə̑k , što l'i ə̑leš ə̑l'ə̑ .","Масло надо было делать, там масло, каждое хозяйство должно было сдать ведро масла, так что ли было.",NA,NA,keläš,,predicate,modal,V,necessity,deontic,,0,no,no,no,hum,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"üm ə̈štäš keleš , üm tə̈štə̈ , každə̑j xoz'ajstvə̑ ik vedrä üm zdajə̑šašlə̑k , što l'i ə̑leš ə̑l'ə̑ .","Масло надо было делать, там масло, каждое хозяйство должно было сдать ведро масла, так что ли было.",NA,NA,šašlə̑k,ə̑leš ə̑l'ə̑,predicate,modal,V,necessity,deontic,deontic,0,no,yes,nom,hum_group,present-day,,
Kashkin et al. 2019,NA,2016–2018,Kuznetsovo and surroundings,Kuznetsovo and surroundings,56.164722,46.713611,spontaneous,"jesl'i vesə̈ madaš tə̈ngäleš , to ti kons'ervə̈ ätə̈žə̈m ti kl'etkä gač šə̈käl koltə̑šašlə̑k ə̑leš jalžə̑ dono , dä tə̈škə̈ jalžə̑ popazə̑šašlə̑k agə̑l .","Если другой начинает играть, то эту консервную посудину через эту клетку проталкивать должен ногой, и его нога не должна туда попадать.",NA,NA,šašlə̑k,,predicate,modal,V,necessity,deontic,deontic (game rules),0,no,no,no,hum,present-day,games,personal
